G_Spacing [mm],Freq [GHz],"dB(St(Microstrip_T2,Microstrip_T1)) []",
0.7,48.875,-0.477720569,0.477720569
0.7,49,-0.479240066,0.479240066
0.7,49.125,-0.480850741,0.480850741
0.7,49.25,-0.482565797,0.482565797
0.7,49.375,-0.484399501,0.484399501
0.7,49.5,-0.486367227,0.486367227
0.7,49.625,-0.488485492,0.488485492
0.7,49.75,-0.490772008,0.490772008
0.7,49.875,-0.493245716,0.493245716
0.7,50,-0.495926823,0.495926823
